iter	Passed	Remaining
405	6615	2623
406	6632	2607
407	6646	2590
408	6656	2571
409	6673	2555
410	6685	2537
411	6698	2519
412	6712	2502
413	6725	2485
414	6739	2468
415	6752	2450
416	6762	2432
417	6776	2415
418	6793	2399
419	6808	2383
420	6822	2365
421	6836	2349
422	6850	2332
423	6860	2313
424	6875	2297
425	6887	2279
426	6901	2262
427	6916	2246
428	6929	2228
429	6947	2213
430	6963	2197
431	6976	2180
432	6993	2164
433	7007	2147
434	7021	2130
435	7036	2114
436	7054	2098
437	7072	2083
438	7091	2067
439	7108	2051
440	7127	2036
441	7146	2021
442	7165	2005
443	7183	1989
444	7198	1973
445	7212	1956
446	7230	1940
447	7247	1924
448	7263	1908
449	7279	1892
450	7295	1876
451	7310	1859
452	7324	1843
453	7338	1826
454	7352	1809
455	7367	1793
456	7382	1776
457	7397	1760
458	7411	1743
459	7424	1727
460	7437	1710
461	7449	1693
462	7461	1676
463	7471	1658
464	7484	1641
465	7497	1625
466	7511	1608
467	7523	1591
468	7536	1574
469	7549	1558
470	7562	1541
471	7574	1524
472	7587	1507
473	7601	1491
474	7612	1474
475	7623	1457
476	7636	1440
477	7650	1424
478	7660	1407
479	7673	1390
480	7686	1374
481	7699	1357
482	7711	1341
483	7723	1324
484	7734	1307
485	7746	1291
486	7758	1274
487	7771	1258
488	7783	1241
489	7795	1225
490	7807	1208
491	7819	1192
492	7831	1175
493	7842	1158
494	7853	1142
495	7864	1125
496	7875	1109
497	7887	1092
498	7898	1076
499	7909	1059
500	7920	1043
501	7930	1026
502	7942	1010
503	7953	994
504	7963	977
505	7973	961
506	7984	944
507	7995	928
508	8005	912
509	8016	895
510	8027	879
511	8038	863
512	8049	847
513	8060	831
514	8070	814
515	8081	798
516	8092	782
517	8102	766
518	8112	750
519	8123	734
520	8133	718
521	8144	702
522	8154	686
523	8164	670
524	8175	654
525	8185	638
526	8195	622
527	8206	606
528	8216	590
529	8226	574
530	8236	558
531	8246	542
532	8256	526
533	8266	510
534	8276	495
535	8287	479
536	8297	463
537	8307	447
538	8316	432
539	8327	416
540	8337	400
541	8346	384
