iter	RMSE
172	11.62431891
173	11.61507544
174	11.60873975
175	11.60541543
176	11.60153626
177	11.59620364
178	11.58993412
179	11.58061935
180	11.5740251
181	11.56954834
182	11.56089548
183	11.55686788
184	11.5498288
185	11.5411907
186	11.53706353
187	11.52754108
188	11.52115207
189	11.51658804
190	11.50958989
191	11.50105878
192	11.49124449
193	11.48413576
194	11.47344003
195	11.47073415
196	11.46648239
197	11.46076916
198	11.45607218
199	11.45283835
200	11.44812156
201	11.43869202
202	11.43201949
203	11.42738314
204	11.42015102
205	11.4156968
206	11.40787789
207	11.40211926
208	11.39857981
209	11.39420683
210	11.3881687
211	11.3851644
212	11.38010649
213	11.37565359
214	11.36639189
215	11.36356615
216	11.35836381
217	11.35390972
218	11.34864397
219	11.33987296
220	11.33090247
221	11.32628677
222	11.3229988
223	11.31482002
224	11.30853898
225	11.30285117
226	11.29602293
227	11.29086722
228	11.28456752
229	11.27902692
230	11.27494391
231	11.27317238
232	11.26880247
233	11.25593491
234	11.2485741
235	11.23982533
236	11.23591096
237	11.23235022
238	11.23028064
239	11.22275235
240	11.21901915
241	11.21070634
242	11.20470396
243	11.19385579
244	11.18599681
245	11.18256891
246	11.17743966
247	11.17037156
248	11.16599847
249	11.16298658
250	11.15872923
251	11.15022549
252	11.14592267
253	11.14298299
254	11.13942392
255	11.13062525
256	11.12463125
257	11.12063307
258	11.11221187
259	11.10952394
260	11.10635726
261	11.09924493
262	11.09509458
263	11.09096186
264	11.08461834
265	11.07436116
266	11.07040794
267	11.06723366
268	11.06013536
269	11.04784484
270	11.03983422
271	11.03280023
272	11.0279258
273	11.01719944
274	11.01000469
275	11.00512239
276	10.9978761
277	10.99359284
278	10.9898731
279	10.98517996
280	10.97694691
281	10.97023039
282	10.9648667
283	10.95899615
284	10.95366898
285	10.95076356
286	10.94845149
287	10.94534538
288	10.9405666
289	10.93647794
290	10.92789036
291	10.92542235
292	10.92093079
293	10.91433976
294	10.9084255
295	10.90087626
296	10.89684413
297	10.89416746
298	10.88919345
299	10.87803679
300	10.8719558
301	10.86402842
302	10.85872704
303	10.85544807
304	10.84970602
305	10.84471392
306	10.83819753
307	10.83249762
308	10.82423856
309	10.82174249
310	10.81932752
311	10.81172094
312	10.80819855
313	10.80329019
314	10.79720044
315	10.79040413
316	10.78554128
317	10.78100833
318	10.77682727
319	10.77349105
320	10.76686769
321	10.7633248
322	10.75759564
323	10.75467806
324	10.74912544
325	10.74436026
326	10.73808803
327	10.7291377
328	10.72658405
329	10.72035666
330	10.71381392
331	10.70969079
332	10.70697406
333	10.69986355
334	10.69632355
335	10.69156921
336	10.68601686
337	10.67956616
338	10.67657978
339	10.67144422
340	10.66702438
341	10.66036946
342	10.65687887
343	10.64694892
344	10.64316222
345	10.63609083
346	10.62312712
347	10.61872732
348	10.60829449
349	10.60612349
350	10.60276722
351	10.59873394
352	10.59680653
353	10.59316853
354	10.58686993
355	10.58147371
356	10.57812633
357	10.57483286
358	10.5707452
359	10.56538977
360	10.5599804
361	10.55403672
362	10.54941912
363	10.54734466
364	10.54216439
365	10.53095588
366	10.52903922
367	10.52450313
368	10.52232268
369	10.51794739
370	10.51085294
371	10.5058916
372	10.49970271
373	10.49582388
374	10.4934609
375	10.48947709
376	10.48077769
377	10.46993566
378	10.46647868
379	10.46042449
380	10.45762526
381	10.45334817
382	10.44867612
383	10.44214502
384	10.43915937
385	10.43661127
386	10.43303275
387	10.4304564
388	10.42467773
389	10.42046519
390	10.41477219
391	10.40996762
392	10.40694622
393	10.40475301
394	10.40020094
395	10.39271283
396	10.38949811
397	10.38820331
398	10.3843523
399	10.37614232
400	10.3715097
401	10.36637297
402	10.3647869
403	10.359812
404	10.35742695
405	10.35568213
406	10.35434285
407	10.35026258
408	10.34519583
409	10.33956224
410	10.3347815
411	10.3322967
412	10.32567462
413	10.32173873
414	10.31798025
415	10.31176717
416	10.30729788
417	10.30136741
418	10.29526357
419	10.29023626
420	10.28648874
421	10.28301629
422	10.27701123
423	10.27211253
424	10.27011648
425	10.26260452
426	10.25790009
427	10.25212422
428	10.24942656
429	10.24401098
430	10.23983467
431	10.23719019
432	10.23417113
433	10.22990121
434	10.22567167
435	10.22151553
436	10.21773806
437	10.21367906
438	10.20759172
439	10.2061321
440	10.20090431
441	10.19241833
442	10.18990218
443	10.18502327
444	10.17990421
445	10.17652709
446	10.17315134
447	10.1715332
448	10.16933822
449	10.16279697
450	10.15769151
451	10.15479994
452	10.15243658
453	10.15055347
454	10.14736676
455	10.14390532
456	10.13783013
457	10.13255423
458	10.12736391
459	10.12223566
460	10.12030035
461	10.11541442
462	10.11170275
463	10.10936439
464	10.10653066
465	10.10424619
466	10.10063141
467	10.09667786
468	10.09262572
469	10.08606678
470	10.08229683
471	10.07773619
472	10.07003508
473	10.0672101
474	10.0647516
475	10.06230638
476	10.05815629
477	10.0518628
478	10.04867162
479	10.04603197
480	10.04082394
481	10.03868576
482	10.03346404
483	10.02742957
484	10.02230443
485	10.01765171
486	10.01048554
487	10.00604923
488	10.00386308
489	10.00072684
490	9.993801258
491	9.987751508
492	9.98272733
493	9.97778236
494	9.975079127
495	9.970478011
496	9.96490776
497	9.962492731
498	9.959597832
499	9.956583389
500	9.951882938
501	9.947820858
502	9.943513042
503	9.940988129
504	9.938387718
505	9.937003922
506	9.930994038
507	9.926099194
508	9.922899026
509	9.920082151
510	9.913704564
511	9.909361447
512	9.90685592
513	9.903092956
514	9.897985215
515	9.894988162
516	9.890253046
517	9.887565283
518	9.884898587
519	9.880627183
520	9.877020974
521	9.87378533
522	9.86807504
523	9.86293732
524	9.858920091
525	9.856361667
526	9.853246834
527	9.851328262
528	9.849263256
529	9.844843037
530	9.840484978
531	9.836726688
532	9.833743258
533	9.831720914
534	9.829238564
535	9.823139117
536	9.818025385
537	9.815479219
538	9.813082121
539	9.809193439
540	9.806643331
541	9.803891313
542	9.799482423
543	9.793286482
544	9.79013104
545	9.784599976
546	9.779627779
547	9.772720423
548	9.770186683
549	9.769051536
550	9.766696452
551	9.763830981
552	9.760522512
553	9.756332165
554	9.751241921
555	9.74736108
556	9.743782549
557	9.738436053
558	9.734195112
559	9.731853107
560	9.727532216
561	9.722465953
562	9.717715585
563	9.713583029
564	9.710865603
565	9.707748845
566	9.702000587
