iter	RMSE
0	15.47540586
1	15.35342017
2	15.24654053
3	15.13793471
4	15.03611373
5	14.93775109
6	14.84495097
7	14.75886328
8	14.68328516
9	14.60800207
10	14.523359
11	14.44868541
12	14.37086877
13	14.29386184
14	14.2231591
15	14.15858751
16	14.0975793
17	14.03774755
18	13.97688034
19	13.9211982
20	13.87106745
21	13.81920785
22	13.7693552
23	13.71987681
24	13.67193734
25	13.62863829
26	13.58483248
27	13.54026916
28	13.5030706
29	13.46948603
30	13.43404918
31	13.39163046
32	13.35466598
33	13.32059377
34	13.29563231
35	13.26215052
36	13.23102785
37	13.19876374
38	13.17145266
39	13.14308668
40	13.11290669
41	13.08601309
42	13.05916645
43	13.02213016
44	13.00257468
45	12.97933508
46	12.9551599
47	12.92879252
48	12.90688816
49	12.87813577
50	12.85520374
51	12.83518522
52	12.81757309
53	12.79565247
54	12.77299638
55	12.75231048
56	12.73403465
57	12.71445937
58	12.70047963
59	12.679589
60	12.66223553
61	12.64328285
62	12.62363182
63	12.60371684
64	12.58999802
65	12.57514095
66	12.5645873
67	12.55206333
68	12.54138372
69	12.5271905
70	12.51308814
71	12.49525432
72	12.48029691
73	12.46045134
74	12.44450999
75	12.42860056
76	12.4136873
77	12.40147834
78	12.39033445
79	12.37771956
80	12.37035434
81	12.35441525
82	12.34242703
83	12.33136711
84	12.32127234
85	12.30607044
86	12.29656793
87	12.28427404
88	12.27333062
89	12.26256567
90	12.24491996
91	12.23526558
92	12.22516777
93	12.21085188
94	12.19733876
95	12.18531615
96	12.17665405
97	12.16361632
98	12.15404765
99	12.14170716
100	12.13084329
101	12.12156871
102	12.11486417
103	12.10192503
104	12.09373665
105	12.08634058
106	12.07700688
107	12.0657824
108	12.05423273
109	12.04253042
110	12.03632463
111	12.02794947
112	12.02095042
113	12.01055762
114	12.0016517
115	11.99359064
116	11.98295612
117	11.97635141
118	11.96949199
119	11.96349763
120	11.9579293
121	11.95168979
122	11.94445651
123	11.93946065
124	11.93450489
125	11.92841674
126	11.92359429
127	11.91705994
128	11.90980118
129	11.9038603
130	11.89916789
131	11.89447946
132	11.88341989
133	11.87452156
134	11.8688809
135	11.86354289
136	11.85522819
137	11.84870975
138	11.84457151
139	11.82833532
140	11.82093076
141	11.81334906
142	11.80447929
143	11.79944378
144	11.79280022
145	11.78534887
146	11.77859631
147	11.77346108
148	11.7647124
149	11.75967881
150	11.75566191
151	11.75198944
152	11.74151268
153	11.7345639
154	11.72940846
155	11.72597911
156	11.72106695
157	11.71517285
158	11.71144688
159	11.70488084
160	11.6991162
161	11.694976
162	11.69008754
163	11.68099287
164	11.67664618
165	11.66875787
166	11.66049215
167	11.65357266
168	11.64435146
169	11.63885562
170	11.6352043
171	11.63105855
